Ligand_ID	Receptor_ID	TF_ID	Pathway	pathway_ID	Ligand_Symbol	Receptor_Symbol	TF_Symbol
10344	2833	2309	hsa04062_5	hsa04062	CCL26	CXCR3	FOXO3
10344	2833	3551	hsa04062_5	hsa04062	CCL26	CXCR3	IKBKB
10344	2833	4790	hsa04062_7	hsa04062	CCL26	CXCR3	NFKB1
10344	2833	4792	hsa04062_6	hsa04062	CCL26	CXCR3	NFKBIA
10344	2833	4793	hsa04062_6	hsa04062	CCL26	CXCR3	NFKBIB
10344	2833	5970	hsa04062_7	hsa04062	CCL26	CXCR3	RELA
10344	2833	6772	hsa04062_2	hsa04062	CCL26	CXCR3	STAT1
10344	2833	6773	hsa04062_2	hsa04062	CCL26	CXCR3	STAT2
10344	2833	6774	hsa04062_2	hsa04062	CCL26	CXCR3	STAT3
10344	2833	6777	hsa04062_2	hsa04062	CCL26	CXCR3	STAT5B
10563	2829	2309	hsa04062_5	hsa04062	CXCL13	XCR1	FOXO3
10563	2829	3551	hsa04062_5	hsa04062	CXCL13	XCR1	IKBKB
10563	2829	4790	hsa04062_7	hsa04062	CXCL13	XCR1	NFKB1
10563	2829	4792	hsa04062_6	hsa04062	CXCL13	XCR1	NFKBIA
10563	2829	4793	hsa04062_6	hsa04062	CXCL13	XCR1	NFKBIB
10563	2829	5970	hsa04062_7	hsa04062	CXCL13	XCR1	RELA
10563	2829	6772	hsa04062_2	hsa04062	CXCL13	XCR1	STAT1
10563	2829	6773	hsa04062_2	hsa04062	CXCL13	XCR1	STAT2
10563	2829	6774	hsa04062_2	hsa04062	CXCL13	XCR1	STAT3
10563	2829	6777	hsa04062_2	hsa04062	CXCL13	XCR1	STAT5B
10686	51208	2626	hsa04530_3,hsa04530_5	hsa04530	CLDN16	CLDN18	GATA4
1081	1816	1385	hsa04024_8,hsa04024_6,hsa04024_7,hsa04024_4	hsa04024	CGA	DRD5	CREB1
1081	1816	1387	hsa04024_4	hsa04024	CGA	DRD5	CREBBP
1081	1816	2353	hsa04024_9,hsa04024_7,hsa04024_8	hsa04024	CGA	DRD5	FOS
1081	1816	2735	hsa04024_5	hsa04024	CGA	DRD5	GLI1
1081	1816	2737	hsa04024_4	hsa04024	CGA	DRD5	GLI3
1081	1816	3725	hsa04024_9,hsa04024_7,hsa04024_8	hsa04024	CGA	DRD5	JUN
1081	1816	4772	hsa04024_4	hsa04024	CGA	DRD5	NFATC1
1081	1816	4790	hsa04024_4	hsa04024	CGA	DRD5	NFKB1
1081	1816	5465	hsa04024_4	hsa04024	CGA	DRD5	PPARA
1081	1816	6662	hsa04024_4	hsa04024	CGA	DRD5	SOX9
1081	1816	9586	hsa04024_8,hsa04024_6,hsa04024_7,hsa04024_4	hsa04024	CGA	DRD5	CREB5
1081	1816	10488	hsa04024_8,hsa04024_6,hsa04024_7	hsa04024	CGA	DRD5	CREB3
1081	1816	64764	hsa04024_8,hsa04024_6,hsa04024_7,hsa04024_4	hsa04024	CGA	DRD5	CREB3L2
1081	1816	84699	hsa04024_8,hsa04024_6,hsa04024_7,hsa04024_4	hsa04024	CGA	DRD5	CREB3L3
1081	1816	90993	hsa04024_8,hsa04024_6,hsa04024_7,hsa04024_4	hsa04024	CGA	DRD5	CREB3L1
1081	1816	148327	hsa04024_8,hsa04024_6,hsa04024_7,hsa04024_4	hsa04024	CGA	DRD5	CREB3L4
11009	149233	4609	hsa04630_4	hsa04630	IL24	IL23R	MYC
11009	149233	6772	hsa04630_2,hsa04630_3	hsa04630	IL24	IL23R	STAT1
11009	149233	6773	hsa04630_2,hsa04630_3	hsa04630	IL24	IL23R	STAT2
11009	149233	6774	hsa04630_2,hsa04630_3	hsa04630	IL24	IL23R	STAT3
11009	149233	6775	hsa04630_2,hsa04630_3	hsa04630	IL24	IL23R	STAT4
11009	149233	6776	hsa04630_2,hsa04630_3	hsa04630	IL24	IL23R	STAT5A
11009	149233	6777	hsa04630_2,hsa04630_3	hsa04630	IL24	IL23R	STAT5B
11009	149233	6778	hsa04630_2,hsa04630_3	hsa04630	IL24	IL23R	STAT6
