Ligand_ID	Receptor_ID	TF_ID	Pathway	pathway_ID	Ligand_Symbol	Receptor_Symbol	TF_Symbol
18260	18260	14463	hsa04530_3,hsa04530_5	hsa04530	Ocln	Ocln	Gata4
18260	18260	56449	hsa04530_2	hsa04530	Ocln	Ocln	Ybx3
55985	12777	16150	hsa04062_5	hsa04062	Cxcl13	Ccr10	Ikbkb
55985	12777	18033	hsa04062_7	hsa04062	Cxcl13	Ccr10	Nfkb1
55985	12777	18035	hsa04062_6	hsa04062	Cxcl13	Ccr10	Nfkbia
55985	12777	18036	hsa04062_6	hsa04062	Cxcl13	Ccr10	Nfkbib
55985	12777	19697	hsa04062_7	hsa04062	Cxcl13	Ccr10	Rela
55985	12777	20846	hsa04062_2	hsa04062	Cxcl13	Ccr10	Stat1
55985	12777	20847	hsa04062_2	hsa04062	Cxcl13	Ccr10	Stat2
55985	12777	20848	hsa04062_2	hsa04062	Cxcl13	Ccr10	Stat3
55985	12777	20851	hsa04062_2	hsa04062	Cxcl13	Ccr10	Stat5b
55985	12766	16150	hsa04062_5	hsa04062	Cxcl13	Cxcr3	Ikbkb
55985	12766	18033	hsa04062_7	hsa04062	Cxcl13	Cxcr3	Nfkb1
55985	12766	18035	hsa04062_6	hsa04062	Cxcl13	Cxcr3	Nfkbia
55985	12766	18036	hsa04062_6	hsa04062	Cxcl13	Cxcr3	Nfkbib
55985	12766	19697	hsa04062_7	hsa04062	Cxcl13	Cxcr3	Rela
55985	12766	20846	hsa04062_2	hsa04062	Cxcl13	Cxcr3	Stat1
55985	12766	20847	hsa04062_2	hsa04062	Cxcl13	Cxcr3	Stat2
55985	12766	20848	hsa04062_2	hsa04062	Cxcl13	Cxcr3	Stat3
55985	12766	20851	hsa04062_2	hsa04062	Cxcl13	Cxcr3	Stat5b
55985	12145	16150	hsa04062_5	hsa04062	Cxcl13	Cxcr5	Ikbkb
55985	12145	18033	hsa04062_7	hsa04062	Cxcl13	Cxcr5	Nfkb1
55985	12145	18035	hsa04062_6	hsa04062	Cxcl13	Cxcr5	Nfkbia
55985	12145	18036	hsa04062_6	hsa04062	Cxcl13	Cxcr5	Nfkbib
55985	12145	19697	hsa04062_7	hsa04062	Cxcl13	Cxcr5	Rela
55985	12145	20846	hsa04062_2	hsa04062	Cxcl13	Cxcr5	Stat1
55985	12145	20847	hsa04062_2	hsa04062	Cxcl13	Cxcr5	Stat2
55985	12145	20848	hsa04062_2	hsa04062	Cxcl13	Cxcr5	Stat3
55985	12145	20851	hsa04062_2	hsa04062	Cxcl13	Cxcr5	Stat5b
24099	72049	18034	hsa04064_4	hsa04064	Tnfsf13b	Tnfrsf13c	Nfkb2
13389	18128	15205	hsa04330_2,hsa05200_1,hsa05224_1	hsa04330,hsa05200,hsa05224	Dll3	Notch1	Hes1
13389	18128	19664	hsa04330_1	hsa04330	Dll3	Notch1	Rbpj
13389	18128	17869	hsa05224_2	hsa05224	Dll3	Notch1	Myc
13389	18128	18034	hsa05224_2	hsa05224	Dll3	Notch1	Nfkb2
13389	18128	66354	hsa04330_2	hsa04330	Dll3	Notch1	Snw1
13389	18128	15213	hsa04330_2,hsa05200_1,hsa05224_1	hsa04330,hsa05200,hsa05224	Dll3	Notch1	Hey1
13389	18128	15214	hsa04330_2,hsa05200_1,hsa05224_1	hsa04330,hsa05200,hsa05224	Dll3	Notch1	Hey2
13389	18128	56198	hsa04330_2,hsa05200_1,hsa05224_1	hsa04330,hsa05200,hsa05224	Dll3	Notch1	Heyl
13389	18128	15208	hsa04330_2,hsa05200_1,hsa05224_1	hsa04330,hsa05200,hsa05224	Dll3	Notch1	Hes5
13389	18129	15205	hsa04330_2,hsa05200_1,hsa05224_1	hsa04330,hsa05200,hsa05224	Dll3	Notch2	Hes1
13389	18129	19664	hsa04330_1	hsa04330	Dll3	Notch2	Rbpj
13389	18129	17869	hsa05224_2	hsa05224	Dll3	Notch2	Myc
13389	18129	18034	hsa05224_2	hsa05224	Dll3	Notch2	Nfkb2
13389	18129	66354	hsa04330_2	hsa04330	Dll3	Notch2	Snw1
13389	18129	15213	hsa04330_2,hsa05200_1,hsa05224_1	hsa04330,hsa05200,hsa05224	Dll3	Notch2	Hey1
13389	18129	15214	hsa04330_2,hsa05200_1,hsa05224_1	hsa04330,hsa05200,hsa05224	Dll3	Notch2	Hey2
13389	18129	56198	hsa04330_2,hsa05200_1,hsa05224_1	hsa04330,hsa05200,hsa05224	Dll3	Notch2	Heyl
13389	18129	15208	hsa04330_2,hsa05200_1,hsa05224_1	hsa04330,hsa05200,hsa05224	Dll3	Notch2	Hes5
13389	18131	15205	hsa04330_2,hsa05200_1,hsa05224_1	hsa04330,hsa05200,hsa05224	Dll3	Notch3	Hes1
13389	18131	19664	hsa04330_1,hsa04658_1	hsa04330,hsa04658	Dll3	Notch3	Rbpj
13389	18131	17869	hsa05224_2	hsa05224	Dll3	Notch3	Myc
