Ligand_ID	Receptor_ID	TF_ID	Pathway	pathway_ID	Ligand_Symbol	Receptor_Symbol	TF_Symbol
55985	23832	16150	hsa04062_5	hsa04062	Cxcl13	Xcr1	Ikbkb
55985	23832	18033	hsa04062_7	hsa04062	Cxcl13	Xcr1	Nfkb1
55985	23832	18035	hsa04062_6	hsa04062	Cxcl13	Xcr1	Nfkbia
55985	23832	18036	hsa04062_6	hsa04062	Cxcl13	Xcr1	Nfkbib
55985	23832	19697	hsa04062_7	hsa04062	Cxcl13	Xcr1	Rela
55985	23832	20846	hsa04062_2	hsa04062	Cxcl13	Xcr1	Stat1
55985	23832	20847	hsa04062_2	hsa04062	Cxcl13	Xcr1	Stat2
55985	23832	20848	hsa04062_2	hsa04062	Cxcl13	Xcr1	Stat3
55985	23832	20851	hsa04062_2	hsa04062	Cxcl13	Xcr1	Stat5b
114141	56492	14463	hsa04530_3,hsa04530_5	hsa04530	Cldn16	Cldn18	Gata4
12640	13492	12912	hsa04024_8,hsa04024_6,hsa04024_7,hsa04024_4	hsa04024	Cga	Drd5	Creb1
12640	13492	12914	hsa04024_4	hsa04024	Cga	Drd5	Crebbp
12640	13492	14281	hsa04024_9,hsa04024_7,hsa04024_8	hsa04024	Cga	Drd5	Fos
12640	13492	14632	hsa04024_5	hsa04024	Cga	Drd5	Gli1
12640	13492	14634	hsa04024_4	hsa04024	Cga	Drd5	Gli3
12640	13492	16476	hsa04024_9,hsa04024_7,hsa04024_8	hsa04024	Cga	Drd5	Jun
12640	13492	18018	hsa04024_4	hsa04024	Cga	Drd5	Nfatc1
12640	13492	18033	hsa04024_4	hsa04024	Cga	Drd5	Nfkb1
12640	13492	19013	hsa04024_4	hsa04024	Cga	Drd5	Ppara
12640	13492	20682	hsa04024_4	hsa04024	Cga	Drd5	Sox9
12640	13492	231991	hsa04024_8,hsa04024_6,hsa04024_7,hsa04024_4	hsa04024	Cga	Drd5	Creb5
12640	13492	12913	hsa04024_8,hsa04024_6,hsa04024_7	hsa04024	Cga	Drd5	Creb3
12640	13492	208647	hsa04024_8,hsa04024_6,hsa04024_7,hsa04024_4	hsa04024	Cga	Drd5	Creb3l2
12640	13492	208677	hsa04024_8,hsa04024_6,hsa04024_7,hsa04024_4	hsa04024	Cga	Drd5	Creb3l3
12640	13492	26427	hsa04024_8,hsa04024_6,hsa04024_7,hsa04024_4	hsa04024	Cga	Drd5	Creb3l1
12640	13492	78284	hsa04024_8,hsa04024_6,hsa04024_7,hsa04024_4	hsa04024	Cga	Drd5	Creb3l4
93672	209590	17869	hsa04630_4	hsa04630	Il24	Il23r	Myc
93672	209590	20846	hsa04630_2,hsa04630_3	hsa04630	Il24	Il23r	Stat1
93672	209590	20847	hsa04630_2,hsa04630_3	hsa04630	Il24	Il23r	Stat2
93672	209590	20848	hsa04630_2,hsa04630_3	hsa04630	Il24	Il23r	Stat3
93672	209590	20849	hsa04630_2,hsa04630_3	hsa04630	Il24	Il23r	Stat4
93672	209590	20850	hsa04630_2,hsa04630_3	hsa04630	Il24	Il23r	Stat5a
93672	209590	20851	hsa04630_2,hsa04630_3	hsa04630	Il24	Il23r	Stat5b
93672	209590	20852	hsa04630_2,hsa04630_3	hsa04630	Il24	Il23r	Stat6
93672	209590	16391	hsa04630_4	hsa04630	Il24	Il23r	Irf9
11516	381853	12912	hsa04024_8,hsa04024_6,hsa04024_7,hsa04024_4	hsa04024	Adcyap1	Gipr	Creb1
11516	381853	12914	hsa04024_4	hsa04024	Adcyap1	Gipr	Crebbp
11516	381853	14281	hsa04024_9,hsa04024_7,hsa04024_8	hsa04024	Adcyap1	Gipr	Fos
11516	381853	14632	hsa04024_5	hsa04024	Adcyap1	Gipr	Gli1
11516	381853	14634	hsa04024_4	hsa04024	Adcyap1	Gipr	Gli3
11516	381853	16476	hsa04024_9,hsa04024_7,hsa04024_8	hsa04024	Adcyap1	Gipr	Jun
11516	381853	18018	hsa04024_4	hsa04024	Adcyap1	Gipr	Nfatc1
11516	381853	18033	hsa04024_4	hsa04024	Adcyap1	Gipr	Nfkb1
11516	381853	19013	hsa04024_4	hsa04024	Adcyap1	Gipr	Ppara
11516	381853	20682	hsa04024_4	hsa04024	Adcyap1	Gipr	Sox9
11516	381853	231991	hsa04024_8,hsa04024_6,hsa04024_7,hsa04024_4	hsa04024	Adcyap1	Gipr	Creb5
11516	381853	12913	hsa04024_8,hsa04024_6,hsa04024_7	hsa04024	Adcyap1	Gipr	Creb3
11516	381853	208647	hsa04024_8,hsa04024_6,hsa04024_7,hsa04024_4	hsa04024	Adcyap1	Gipr	Creb3l2
11516	381853	208677	hsa04024_8,hsa04024_6,hsa04024_7,hsa04024_4	hsa04024	Adcyap1	Gipr	Creb3l3
11516	381853	26427	hsa04024_8,hsa04024_6,hsa04024_7,hsa04024_4	hsa04024	Adcyap1	Gipr	Creb3l1
11516	381853	78284	hsa04024_8,hsa04024_6,hsa04024_7,hsa04024_4	hsa04024	Adcyap1	Gipr	Creb3l4
12803	16847	17869	hsa04630_4	hsa04630	Cntf	Lepr	Myc
12803	16847	20846	hsa04630_2,hsa04630_3	hsa04630	Cntf	Lepr	Stat1
12803	16847	20847	hsa04630_2,hsa04630_3	hsa04630	Cntf	Lepr	Stat2
12803	16847	20848	hsa04630_2,hsa04630_3	hsa04630	Cntf	Lepr	Stat3
12803	16847	20849	hsa04630_2,hsa04630_3	hsa04630	Cntf	Lepr	Stat4
12803	16847	20850	hsa04630_2,hsa04630_3	hsa04630	Cntf	Lepr	Stat5a
12803	16847	20851	hsa04630_2,hsa04630_3	hsa04630	Cntf	Lepr	Stat5b
12803	16847	20852	hsa04630_2,hsa04630_3	hsa04630	Cntf	Lepr	Stat6
12803	16847	16391	hsa04630_4	hsa04630	Cntf	Lepr	Irf9
12740	12738	14463	hsa04530_3,hsa04530_5	hsa04530	Cldn4	Cldn2	Gata4
12739	53624	14463	hsa04530_3,hsa04530_5	hsa04530	Cldn3	Cldn7	Gata4
12739	60363	14463	hsa04530_3,hsa04530_5	hsa04530	Cldn3	Cldn15	Gata4
12739	18417	14463	hsa04530_3,hsa04530_5	hsa04530	Cldn3	Cldn11	Gata4
53624	12739	14463	hsa04530_3,hsa04530_5	hsa04530	Cldn7	Cldn3	Gata4
53624	56492	14463	hsa04530_3,hsa04530_5	hsa04530	Cldn7	Cldn18	Gata4
71908	242653	14463	hsa04530_3,hsa04530_5	hsa04530	Cldn23	Cldn19	Gata4
71908	18417	14463	hsa04530_3,hsa04530_5	hsa04530	Cldn23	Cldn11	Gata4
71908	12738	14463	hsa04530_3,hsa04530_5	hsa04530	Cldn23	Cldn2	Gata4
12977	13649	11911	hsa04151_7,hsa04151_6,hsa04151_5,hsa04151_4	hsa04151	Csf1	Egfr	Atf4
12977	13649	12189	hsa04151_7,hsa04151_6,hsa04151_5,hsa04151_4	hsa04151	Csf1	Egfr	Brca1
12977	13649	12912	hsa04151_7,hsa04151_6,hsa04151_5,hsa04151_4	hsa04151	Csf1	Egfr	Creb1
12977	13649	11909	hsa04151_7,hsa04151_6,hsa04151_5,hsa04151_4	hsa04151	Csf1	Egfr	Atf2
